GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,0,50,0,0,0,16,0,5,0,5
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,5,12,0,0,2,4,1,3,1,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,29,77,3,1,9,17,3,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,49,63,6,2,15,18,5,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,29,77,3,1,9,17,3,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,29,77,3,1,9,17,3,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,29,77,3,1,9,17,3,7,1,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,29,77,3,1,9,17,3,7,1,7
spring-boot-skeleton,com.nnk.springboot.service,RuleNameService,33,94,0,0,3,19,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.service,TradeService,33,94,0,0,3,19,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.service,UserDetailsConfigService,38,7,2,0,9,2,2,2,1,2
spring-boot-skeleton,com.nnk.springboot.service,RatingService,33,94,0,0,3,19,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.service,BidListService,33,94,0,0,3,19,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.service,CurvePointService,33,94,0,0,3,19,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.service,UserService,43,107,0,0,5,22,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.security,PasswordValidator,0,20,0,0,0,6,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.security,SecurityConfig,0,196,0,0,0,37,0,5,0,5
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
